species,fruit_type,color,length.max_mm
Blakea_perforata,fleshy,white,23
Blakea_pluvialis,fleshy,colored,13
Blakea_purpusii,fleshy,colored,12
Blakea_quadriflora,fleshy,white,5.5
Blakea_repens,fleshy,colored,10
Blakea_rosea,fleshy,white,15
Blakea_scarlatina,fleshy,colored,45
Blakea_schlimii,fleshy,colored,17
Blakea_standleyi,fleshy,colored,11
Blakea_storkii,fleshy,colored,42
Blakea_suaveolens,fleshy,colored,15
Blakea_subconnata,fleshy,colored,20
Blakea_subpanduriformis,fleshy,colored,17
Blakea_tapantiana,fleshy,white,21
Blakea_tetramera,fleshy,white,9
Blakea_tuberculata,fleshy,colored,38
Blakea_unguiculata,fleshy,white,20
Blakea_venusta,fleshy,white,17
Blakea_watsonii,fleshy,colored,16
Blakea_wilburiana,fleshy,colored,18
Blakea_wilsoniorum,fleshy,colored,30
Blastus_auriculatus,dry,white,2.2
Blastus_borneensis,dry,colored,3
Blastus_brevissimus,dry,colored,4
Blastus_cochinchinensis,dry,colored,4
Blastus_pauciflorus,dry,colored,4
Blastus_tenuifolius,dry,colored,5
Blastus_tsaii,dry,colored,4.5
Boyania_ayangannae,dry,white,13
Brachyotum_alpinum,dry,colored,14
Brachyotum_barbeyanum,dry,colored,13
Brachyotum_benthamianum,dry,colored,18
Brachyotum_cernuum,dry,colored,18
Brachyotum_confertum,dry,colored,13
Brachyotum_coronatum,dry,colored,18
Brachyotum_figueroae,dry,white,12
Brachyotum_gracilescens,dry,colored,19
Brachyotum_grisebachii,dry,colored,20
Brachyotum_jamesonii,dry,colored,16
Brachyotum_ledifolium,dry,colored,17
Brachyotum_lindenii,dry,colored,16
Brachyotum_lycopodioides,dry,colored,14
Brachyotum_lymphatum,dry,colored,13.5
Brachyotum_microdon,dry,colored,23
Brachyotum_naudinii,dry,colored,23
Brachyotum_nutans,dry,colored,18
Brachyotum_quinquenerve,dry,colored,14
Brachyotum_radula,dry,colored,20
Brachyotum_rosmarinifolium,dry,colored,16
Brachyotum_rostratum,dry,colored,12
Brachyotum_sanguinolentum,dry,colored,10
Brachyotum_tyrianthinum,dry,colored,17
Brasilianthus_carajensis,dry,colored,2.9
Bredia_esquirolii,dry,colored,10
Bredia_fordii,dry,colored,14
Bredia_gracilis,dry,colored,7
Bredia_hirsuta,dry,white,11
Bredia_hispida,dry,colored,7
Bredia_longearistata,dry,white,3
Bredia_longiloba,dry,colored,10
Bredia_microphylla,dry,colored,9
Bredia_velutina,dry,colored,8
Bredia_yunnanensis,dry,colored,6
Calvoa_maculata,dry,white,5
Calycogonium_calycopteris,fleshy,colored,3.7
Calycogonium_formonense,fleshy,colored,3
Calycogonium_heterophyllum,fleshy,colored,3
Calycogonium_hispidulum,fleshy,colored,4.8
Calycogonium_reticulatum,fleshy,white,2.3
Calycogonium_tetragonolobum,fleshy,white,3
Cambessedesia_angelana,dry,colored,4.3
Cambessedesia_corymbosa,dry,colored,7
Cambessedesia_espora,dry,colored,6
Cambessedesia_hilariana,dry,colored,7
Cambessedesia_rupestris,dry,colored,6
Cambessedesia_uncinata,dry,colored,7
Cambessedesia_weddellii,dry,colored,8
Castratella_piloselloides,dry,colored,9
Catanthera_nummularia,fleshy,colored,7
Centradenia_floribunda,dry,colored,11
Centradenia_grandifolia,dry,colored,11
Centradenia_inaequilateralis,dry,white,9
Centradenia_paradoxa,dry,white,7
Centradeniastrum_album,dry,colored,11
Centradeniastrum_roseum,dry,colored,7
Centronia_insignis,dry,colored,25
Centronia_neblinae,dry,white,20
Chaetogastra_cerastifolia,dry,colored,12
Chaetogastra_ciliaris,dry,colored,12
Chaetogastra_clinopodifolia,dry,colored,5
Chaetogastra_debilis,dry,colored,12
Chaetogastra_gracilis,dry,colored,25
Chaetogastra_herbacea,dry,colored,9
Chaetogastra_hieracioides,dry,colored,25
Chaetogastra_longifolia,dry,white,9
Chaetogastra_minor,dry,colored,12
Chaetogastra_naudiniana,dry,colored,10
Chaetogastra_roseotincta,dry,colored,18
Chaetogastra_sebastianopolitana,dry,colored,10
Chaetogastra_sericea,dry,colored,18.2
Chaetolepis_anisandra,dry,colored,8
Chaetolepis_cufodontisii,dry,colored,10
Chaetolepis_lindeniana,dry,colored,5
Chaetolepis_microphylla,dry,colored,4
Chaetolepis_sessilis,dry,colored,5.5
Chaetostoma_armatum,dry,colored,12.5
Chaetostoma_hexapetalum,dry,colored,15
Chalybea_brevipedunculata,fleshy,colored,15
Charianthus_alpinus,fleshy,colored,14
Charianthus_dominicensis,fleshy,colored,7.34
Charianthus_grenadensis,fleshy,colored,14.13
Charianthus_nodosus,fleshy,colored,14.25
Charianthus_purpureus,fleshy,colored,10.88
Clidemia_acurensis,fleshy,white,7.5
Clidemia_alternifolia,fleshy,white,2
Clidemia_aphanantha,fleshy,colored,2.5
Clidemia_atrata,fleshy,colored,5
Clidemia_attenuata,fleshy,white,2.7
Clidemia_biserrata,fleshy,white,4.5
Clidemia_bullosa,fleshy,white,4
Clidemia_buntingii,fleshy,white,3.4
Clidemia_capillipes,fleshy,colored,2.4
Clidemia_capitata,fleshy,white,2.5
Clidemia_capitellata,fleshy,white,6
Clidemia_charadrophylla,fleshy,colored,1
Clidemia_ciliata,fleshy,white,4
Clidemia_clandestina,fleshy,colored,1
Clidemia_collina,fleshy,white,5
Clidemia_coloradensis,fleshy,colored,8
Clidemia_conglomerata,fleshy,white,5.5
Clidemia_costaricensis,fleshy,white,5.5
