species,fruit_type,color,length.max_mm
Macrocentrum_neblinae,dry,white,7
Macrocentrum_rubescens,dry,colored,11
Maguireanthus_ayangannae,dry,white,5.8
Marcetia_candolleana,dry,colored,6.5
Marcetia_eimeariana,dry,colored,3
Marcetia_oxycoccoides,dry,colored,38
Marcetia_semiriana,dry,colored,8
Marcetia_shepherdii,dry,colored,6.5
Marcetia_taxifolia,dry,colored,7
Mecranium_acuminatum,fleshy,white,3.1
Mecranium_alpestre,fleshy,white,1.3
Mecranium_amygdalinum,fleshy,white,3.8
Mecranium_axillare,fleshy,white,2
Mecranium_birimosum,fleshy,white,2.5
Mecranium_haemanthum,fleshy,colored,3.3
Mecranium_haitiense,fleshy,colored,3.9
Mecranium_integrifolium,fleshy,white,2.2
Mecranium_latifolium,fleshy,white,3.4
Mecranium_microdictyum,fleshy,white,1.6
Mecranium_multiflorum,fleshy,white,1.8
Mecranium_ovatum,fleshy,white,1.6
Mecranium_puberulum,fleshy,white,1.8
Mecranium_purpurascens,fleshy,colored,4.2
Mecranium_racemosum,fleshy,white,2
Mecranium_revolutum,fleshy,white,1.4
Mecranium_septentrionale,fleshy,white,1.4
Mecranium_tricostatum,fleshy,white,2.4
Mecranium_tuberculatum,fleshy,colored,3.1
Mecranium_virgatum,fleshy,white,5.2
Medinilla_alpestris,fleshy,white,9
Medinilla_arboricola,fleshy,colored,20
Medinilla_curtisii,fleshy,colored,12
Medinilla_fengii,fleshy,colored,7.5
Medinilla_hayatana,fleshy,colored,9
Medinilla_merrittii,fleshy,colored,12
Medinilla_nana,fleshy,colored,11
Medinilla_petelotii,fleshy,colored,9
Medinilla_radicans,fleshy,colored,10
Medinilla_rubicunda,fleshy,colored,15
Melastoma_cyanoides,fleshy,colored,10
Melastoma_dodecandrum,fleshy,colored,20
Melastoma_imbricatum,fleshy,colored,35
Melastoma_intermedium,fleshy,colored,14
Melastoma_malabathricum,fleshy,colored,35
Melastoma_minahassae,fleshy,colored,42
Melastoma_orientale,fleshy,colored,8
Melastoma_pellegrinianum,fleshy,colored,14
Melastoma_saigonense,fleshy,colored,20
Melastoma_sanguineum,fleshy,colored,50
Memecylon_caeruleum,fleshy,colored,2
Memecylon_celastrinum,fleshy,colored,2.5
Memecylon_hainanense,fleshy,white,3.5
Memecylon_kurichiarensis,fleshy,colored,2
Memecylon_ligustrifolium,fleshy,colored,3
Memecylon_mayottense,fleshy,white,3
Memecylon_nigrescens,fleshy,white,2
Memecylon_octocostatum,fleshy,colored,3
Memecylon_perditum,fleshy,colored,3.5
Memecylon_polyanthum,fleshy,colored,2
Memecylon_ponmudianum,fleshy,colored,2
Memecylon_scutellatum,fleshy,colored,2.5
Memecylon_sejunctum,fleshy,colored,4
Memecylon_xiphophyllum,fleshy,colored,2.5
Meriania_barbosae,dry,colored,32
Meriania_brachycera,dry,colored,35
Meriania_brevipedunculata,dry,colored,22
Meriania_crassiramis,dry,colored,25
Meriania_fantastica,dry,colored,85
Meriania_franciscana,dry,colored,10
Meriania_grandiflora,dry,colored,27
Meriania_largest,dry,colored,40
Meriania_longifolia,dry,colored,40
Meriania_macrophylla,dry,colored,18
Meriania_maxima,dry,colored,40
Meriania_microflora,dry,white,4.5
Meriania_ninakurorum,dry,colored,50
Meriania_odorata,dry,colored,25
Meriania_panamensis,dry,colored,39
Meriania_parvifolia,dry,colored,11
Meriania_phlomoides,dry,colored,16
Meriania_sclerophylla,dry,colored,18
Meriania_selvaflorensis,dry,colored,45
Meriania_steyermarkii,dry,colored,22
Meriania_subumbellata,dry,colored,12
Meriania_tetragona,dry,colored,10
Meriania_urceolata,dry,colored,17
Merianthera_bullata,dry,colored,25
Merianthera_burlemarxii,dry,colored,30
Merianthera_eburnea,dry,colored,23.5
Merianthera_parvifolia,dry,colored,34
Merianthera_pulchra,dry,colored,18.7
Merianthera_sipolisii,dry,colored,28
Merianthera_verrucosa,dry,colored,15.8
Micollia_carvalloana,fleshy,colored,6
Miconia_abbreviata,fleshy,white,2.5
Miconia_acinodendron,fleshy,white,3
Miconia_acuminata,fleshy,white,4.8
Miconia_acutifolia,fleshy,white,7
Miconia_adenocalyx,fleshy,white,3.5
Miconia_affinis,fleshy,white,3
Miconia_alata,fleshy,white,2.5
Miconia_albertii,fleshy,colored,3.9
Miconia_albicans,fleshy,white,3
Miconia_albiviridis,fleshy,colored,7
Miconia_alborufescens,fleshy,white,2.8
Miconia_aliquantula,fleshy,white,3
Miconia_alpestris,fleshy,white,2
Miconia_alternans,fleshy,white,3
Miconia_alternifolia,fleshy,white,4.1
Miconia_amacurensis,fleshy,white,6.5
Miconia_amilcariana,fleshy,white,1.1
Miconia_ampla,fleshy,colored,8
Miconia_amplinodis,fleshy,colored,2
Miconia_andreana,fleshy,colored,2
Miconia_angustidentata,fleshy,white,4
Miconia_angustiflora,fleshy,white,11
Miconia_apiculata,fleshy,white,3.15
Miconia_aplostachya,fleshy,white,2.5
Miconia_aponeura,fleshy,colored,7
Miconia_approximata,fleshy,colored,2.5
Miconia_araguensis,fleshy,colored,15.3
Miconia_arboricola,fleshy,white,3
Miconia_argentea,fleshy,white,3
Miconia_argyrophylla,fleshy,white,2.5
Miconia_astrocalyx,fleshy,white,4
Miconia_atlantica,fleshy,white,2.5
Miconia_barkeri,fleshy,colored,6.7
Miconia_basilensis,fleshy,white,3
Miconia_becqueri,fleshy,colored,7.5
Miconia_benthamiana,fleshy,colored,9
Miconia_bernardii,fleshy,white,2
Miconia_biglomerata,fleshy,white,2
Miconia_bilopezii,fleshy,white,2.1
Miconia_biolleyana,fleshy,colored,1.5
Miconia_biperulifera,fleshy,white,2
Miconia_borjensis,fleshy,white,6.5
Miconia_brachybotrya,fleshy,colored,3
Miconia_bracteata,fleshy,white,6
Miconia_bradeana,fleshy,white,6.3
Miconia_breteleri,fleshy,white,11.5
Miconia_brevipes,fleshy,white,2
Miconia_brevitheca,fleshy,colored,1.3
Miconia_bubalina,fleshy,white,5.1
Miconia_bump,fleshy,white,1
Miconia_buxifolia,fleshy,white,1.8
Miconia_cacatin,fleshy,colored,6
Miconia_cacumina,fleshy,colored,3
Miconia_caiuia,fleshy,white,2.5
Miconia_calycina,fleshy,colored,5.4
Miconia_campanensis,fleshy,white,3.5
Miconia_campestris,fleshy,white,4
Miconia_canoi,fleshy,white,4
Miconia_carassana,fleshy,white,3
Miconia_cardenasiae,fleshy,colored,5
Miconia_carnea,fleshy,colored,2.5
Miconia_cataractae,fleshy,white,1.9
Miconia_cautis,fleshy,white,0.7
Miconia_celaquensis,fleshy,colored,5
Miconia_centrodesma,fleshy,white,1.8
Miconia_centronioides,fleshy,colored,20
Miconia_ceramicarpa,fleshy,white,3.5
Miconia_charleswrightii,fleshy,colored,4.2
Miconia_chemillensis,fleshy,white,2
Miconia_chionophila,fleshy,white,3
Miconia_chiriquiensis,fleshy,colored,1.5
Miconia_chlorocarpa,fleshy,white,1.5
Miconia_chrysophylla,fleshy,white,2
Miconia_ciliata,fleshy,colored,2.5
Miconia_cionotricha,fleshy,white,5
Miconia_cladonia,fleshy,white,2.5
Miconia_clementeana,fleshy,white,5.5
Miconia_cocoensis,fleshy,colored,2
Miconia_coloradensis,fleshy,colored,5.5
Miconia_commutata,fleshy,colored,3.3
Miconia_complanata,fleshy,colored,1
Miconia_concinna,fleshy,colored,2.5
Miconia_confertiflora,fleshy,colored,1.5
Miconia_coniophora,fleshy,white,3
Miconia_coriacea,fleshy,white,2.5
Miconia_correae,fleshy,white,10
Miconia_costaricensis,fleshy,colored,2
Miconia_cremadena,fleshy,white,3
Miconia_crocata,fleshy,colored,1.5
Miconia_cubensis,fleshy,colored,5.7
Miconia_curta,fleshy,white,3
Miconia_cuspidatissima,fleshy,white,2.5
Miconia_danielii,fleshy,white,3
Miconia_decurrens,fleshy,white,4
Miconia_diaphanea,fleshy,white,2
Miconia_diegogomezii,fleshy,colored,1
Miconia_dielsiana,fleshy,colored,5
Miconia_dioica,fleshy,colored,0.75
Miconia_dispar,fleshy,white,3
Miconia_dissita,fleshy,white,1.5
Miconia_dodecandra,fleshy,white,8.5
Miconia_dolichopoda,fleshy,white,2.8
Miconia_dolichorrhyncha,fleshy,white,1.25
Miconia_domingensis,fleshy,white,2.1
Miconia_donaeana,fleshy,white,6
Miconia_dorsiloba,fleshy,white,3
Miconia_egensis,fleshy,white,2.5
Miconia_elaeoides,fleshy,white,2.2
Miconia_emendata,fleshy,white,2
Miconia_eriodonta,fleshy,white,4
Miconia_eugenioides,fleshy,white,3.2
Miconia_evanescens,fleshy,white,2
Miconia_favosa,fleshy,white,9
Miconia_ferruginea,fleshy,colored,4.4
Miconia_floribunda,fleshy,white,6
Miconia_forzzae,fleshy,colored,2.9
Miconia_foveolata,fleshy,colored,11
Miconia_fragilis,fleshy,white,2
Miconia_fragrans,fleshy,white,2.5
Miconia_friedmaniorum,fleshy,colored,3
Miconia_fuertesii,fleshy,white,2.5
Miconia_fulvostellata,fleshy,white,3
Miconia_funckii,fleshy,colored,19
Miconia_galeiformis,fleshy,colored,2.2
Miconia_gentryi,fleshy,colored,13.5
Miconia_gibba,fleshy,white,1
Miconia_glaberrima,fleshy,white,1.5
Miconia_glabrata,fleshy,colored,2
Miconia_globulifera,fleshy,white,3.5
Miconia_globuliflora,fleshy,colored,1.5
Miconia_goldenbergiana,fleshy,white,2.5
Miconia_goniostigma,fleshy,colored,4
Miconia_grandidentata,fleshy,white,2
Miconia_gratissima,fleshy,colored,6
Miconia_hemenostigma,fleshy,white,1.5
Miconia_hildeana,fleshy,white,1.5
Miconia_holosericea,fleshy,colored,8
Miconia_hottensis,fleshy,white,1.5
Miconia_howardiana,fleshy,colored,6.2
Miconia_humifusa,fleshy,white,3
Miconia_hypioides,fleshy,white,5
Miconia_hypoleuca,fleshy,white,2.3
Miconia_ibaguensis,fleshy,white,3
Miconia_iluensis,fleshy,colored,9
Miconia_impressa,fleshy,white,6
Miconia_inaequalifolia,fleshy,white,2.3
Miconia_indicoviolacea,fleshy,white,4.5
Miconia_insularis,fleshy,white,3
Miconia_intricata,fleshy,colored,8
Miconia_jimenezi,fleshy,colored,5.6
Miconia_jitotolana,fleshy,white,4.5
Miconia_kappellei,fleshy,white,2
Miconia_karsticola,fleshy,white,10
Miconia_kavanayensis,fleshy,white,1.7
Miconia_kollmannii,fleshy,white,1.3
Miconia_krugii,fleshy,colored,3.2
Miconia_lacera,fleshy,colored,4
Miconia_laevigata,fleshy,white,3
Miconia_laevipilis,fleshy,white,8.5
Miconia_lanceolata,fleshy,white,3.2
Miconia_lappacea,fleshy,white,5.1
Miconia_larensis,fleshy,white,6.5
Miconia_lasseri,fleshy,white,3.5
Miconia_lateriflora,fleshy,white,2.5
Miconia_latifolia,fleshy,white,2.5
Miconia_lepidota,fleshy,white,2
Miconia_leptantha,fleshy,white,1.7
Miconia_livida,fleshy,white,2.5
Miconia_lonchophylla,fleshy,white,5.5
Miconia_longibracteata,fleshy,colored,2.5
Miconia_longidentata,fleshy,white,5.1
Miconia_longifolia,fleshy,white,1.5
Miconia_longispicata,fleshy,white,2.5
Miconia_loreyoides,fleshy,colored,3.5
Miconia_lourteigiana,fleshy,white,2
Miconia_lucenae,fleshy,white,2.2
Miconia_luteola,fleshy,white,2.4
Miconia_macayana,fleshy,white,2.6
Miconia_macrothyrsa,fleshy,white,3
Miconia_macrotis,fleshy,white,7
Miconia_macuxi,fleshy,white,4.1
Miconia_maestrensis,fleshy,white,7
Miconia_magdalenae,fleshy,white,2
Miconia_maguirei,fleshy,white,4
Miconia_mansfeldiana,fleshy,white,4.8
Miconia_marginata,fleshy,white,1
Miconia_mariae,fleshy,white,3
Miconia_matthaei,fleshy,white,3
Miconia_mcphersonii,fleshy,white,2
Miconia_melanotricha,fleshy,colored,7
Miconia_melinonis,fleshy,white,9
Miconia_meridensis,fleshy,white,13
Miconia_mesmeana,fleshy,white,2
Miconia_metallica,fleshy,white,8
Miconia_mexicana,fleshy,white,7
Miconia_mimica,fleshy,colored,0.8
Miconia_minuta,fleshy,white,0.8
Miconia_minutiflora,fleshy,white,2
Miconia_mirabilis,fleshy,white,10
Miconia_mocquerysii,fleshy,white,4.2
Miconia_moorei,fleshy,white,3
Miconia_mulleola,fleshy,colored,2
Miconia_multiglandulosa,fleshy,white,5.3
Miconia_myriantha,fleshy,white,22.3
Miconia_myrtillifolia,fleshy,white,3
Miconia_navifolia,fleshy,white,2
Miconia_neei,fleshy,colored,1.6
Miconia_nervosa,fleshy,white,5
Miconia_nitidissima,fleshy,white,7
Miconia_nordestina,fleshy,white,4.5
Miconia_novemnervia,fleshy,white,7
Miconia_odoratissima,fleshy,white,1.7
Miconia_oraria,fleshy,white,2
Miconia_ossaeifolia,fleshy,white,1.5
Miconia_paupercula,fleshy,white,6
Miconia_perobscura,fleshy,white,5.2
Miconia_perturbata,fleshy,white,1.8
Miconia_phaeophylla,fleshy,white,3.3
Miconia_picinguabensis,fleshy,white,2.1
Miconia_pittieri,fleshy,white,2
Miconia_platypoda,fleshy,white,0.7
Miconia_plukenetii,fleshy,colored,7.9
Miconia_poeppigii,fleshy,white,3
Miconia_polita,fleshy,white,3.4
Miconia_porphyrotricha,fleshy,white,4
Miconia_portogallensis,fleshy,white,1.7
Miconia_pozuzoana,fleshy,white,7
Miconia_prasina,fleshy,white,3
Miconia_procumbens,fleshy,white,1.5
Miconia_pseudocapsularis,fleshy,white,2
Miconia_pseudorigida,fleshy,white,5.7
Miconia_pterocaulon,fleshy,white,2.8
Miconia_pteroclada,fleshy,white,5
Miconia_pubipetala,fleshy,white,7.5
Miconia_pujana,fleshy,colored,1
Miconia_pulvinata,fleshy,colored,2.9
Miconia_punctata,fleshy,white,2.8
Miconia_pycnoneura,fleshy,colored,3.3
Miconia_pyramidalis,fleshy,white,4.3
Miconia_pyrifolia,fleshy,white,2.6
Miconia_quadrangularis,fleshy,white,3
Miconia_quadridomius,fleshy,white,3.5
Miconia_radulaefolia,fleshy,white,34
Miconia_ravenii,fleshy,colored,5
Miconia_regelii,fleshy,white,1.5
Miconia_reitziana,fleshy,white,1.5
Miconia_removed,fleshy,white,12
Miconia_renatogoldenbergii,fleshy,white,2
Miconia_resimoides,fleshy,white,2
Miconia_rhytidophylla,fleshy,white,2.5
Miconia_ricardoi,fleshy,white,2.75
Miconia_rigida,fleshy,colored,6.7
Miconia_rigidissima,fleshy,white,3.3
Miconia_roraimensis,fleshy,white,2
Miconia_rubiginosa,fleshy,white,3
Miconia_rufa,fleshy,white,5.5
Miconia_rufescens,fleshy,white,5
Miconia_ruficalyx,fleshy,white,4.5
Miconia_rugosa,fleshy,white,5
Miconia_rupestris,fleshy,white,2
Miconia_rupticalyx,fleshy,white,2.3
Miconia_rzedowskii,fleshy,white,1.8
Miconia_salicifolia,fleshy,white,1.8
Miconia_samanensis,fleshy,colored,2.9
Miconia_sanctiphilippi,fleshy,white,8
Miconia_santanana,fleshy,colored,34.5
Miconia_santaritensis,fleshy,colored,2
Miconia_sarmentosa,fleshy,white,3.3
Miconia_sastrei,fleshy,colored,2.9
Miconia_scabra,fleshy,white,2
Miconia_schlechtendalii,fleshy,white,2.5
Miconia_schnellii,fleshy,white,2
Miconia_selleana,fleshy,white,6.2
Miconia_septentrionalis,fleshy,white,5
Miconia_serialis,fleshy,white,3.3
Miconia_serrulata,fleshy,white,9
Miconia_shepherdii,fleshy,white,1.9
Miconia_silicicola,fleshy,white,4.5
Miconia_sintenisii,fleshy,colored,8.2
Miconia_skeaniana,fleshy,colored,4.2
Miconia_smaragdina,fleshy,white,4.3
Miconia_sparrei,fleshy,white,4
Miconia_spinulosa,fleshy,white,3.1
Miconia_splendens,fleshy,white,3.7
Miconia_squamulosa,fleshy,white,3
Miconia_stenobotrys,fleshy,colored,2.8
Miconia_stenostachya,fleshy,white,4
Miconia_sterilis,fleshy,white,1.5
Miconia_stevensiana,fleshy,white,3
Miconia_steyermarkii,fleshy,white,3.5
Miconia_strigosa,fleshy,white,10
Miconia_subalpina,fleshy,white,8
Miconia_subcompressa,fleshy,white,6.3
Miconia_suberosa,fleshy,white,2.5
Miconia_suborbicularis,fleshy,white,4
Miconia_superba,fleshy,colored,11
Miconia_sylvatica,fleshy,white,3
Miconia_tabayensis,fleshy,white,1
Miconia_tacanensis,fleshy,white,2.5
Miconia_tachirensis,fleshy,white,2.2
Miconia_talamancensis,fleshy,white,2
Miconia_tamana,fleshy,white,1.3
Miconia_tenensis,fleshy,colored,1
Miconia_teotepecensis,fleshy,white,3.1
Miconia_tetraspermoides,fleshy,white,2.2
Miconia_theizans,fleshy,white,1.3
Miconia_tillettii,fleshy,white,2
Miconia_tinifolia,fleshy,white,2.3
Miconia_tixixensis,fleshy,white,6
Miconia_tomentosa,fleshy,colored,8
Miconia_tovarensis,fleshy,white,2
Miconia_trimera,fleshy,white,2
Miconia_trinervia,fleshy,white,3.1
Miconia_triplinervis,fleshy,white,3
Miconia_trujillensis,fleshy,white,4
Miconia_truncata,fleshy,colored,8
Miconia_tschudyoides,fleshy,white,2.9
Miconia_tuckeri,fleshy,white,2
Miconia_tuerckheimii,fleshy,colored,4.5
Miconia_ulmarioides,fleshy,white,28
Miconia_umbriensis,fleshy,white,2
Miconia_urticoides,fleshy,white,1.5
Miconia_valerioana,fleshy,white,3.5
Miconia_vallartensis,fleshy,colored,13
Miconia_versicolor,fleshy,white,8
Miconia_vestita,fleshy,white,2.5
Miconia_virescens,fleshy,white,2.5
Miconia_viscidula,fleshy,white,3.1
Miconia_walterjuddii,fleshy,colored,1.8
Miconia_wittii,fleshy,white,3.3
Miconia_xenotricha,fleshy,colored,3.5
Miconia_yatuensis,fleshy,white,1.6
Miconia_yeseniae,fleshy,colored,18
Miconia_zanonii,fleshy,white,2.8
Miconia_zemurrayana,fleshy,colored,14
Microlicia_candolleana,dry,colored,12.5
Microlicia_cardiophora,dry,colored,7
Microlicia_colombiana,dry,colored,8.5
Microlicia_contasensis,dry,colored,12
Microlicia_doryphylla,dry,colored,9
Microlicia_fasciculata,dry,colored,9
Microlicia_flavovirens,dry,colored,12
Microlicia_hirticalyx,dry,colored,7
Microlicia_isophylla,dry,colored,10
Microlicia_myrtoidea,dry,colored,6.5
Microlicia_nortecipoana,dry,colored,6.6
Microlicia_obovatifolia,dry,colored,9.1
Microlicia_petiolulata,dry,colored,10
Microlicia_polystemma,dry,colored,12
Microlicia_sciophylla,dry,colored,11.5
Microlicia_stenodonoides,dry,colored,36
Microlicia_wurdackiana,dry,colored,7
Monochaetum_alpestre,dry,colored,20
Monochaetum_amabile,dry,colored,20
Monochaetum_amistadense,dry,colored,12
Monochaetum_bonplandii,dry,colored,14
Monochaetum_brachyurum,dry,colored,12
Monochaetum_carbonoi,dry,colored,11
Monochaetum_ciliatum,dry,colored,8
Monochaetum_cinereum,dry,colored,6.5
Monochaetum_compactum,dry,colored,19
Monochaetum_cordatum,dry,colored,19
Monochaetum_ecaudatum,dry,colored,21
Monochaetum_exaltatum,dry,colored,25
Monochaetum_expansum,dry,colored,11
Monochaetum_glanduliferum,dry,colored,9
Monochaetum_hartwegianum,dry,colored,12
Monochaetum_humboldtianum,dry,colored,30
Monochaetum_laxifolium,dry,colored,11.5
Monochaetum_lindeneanum,dry,colored,13
Monochaetum_linearifolium,dry,colored,14
Monochaetum_lineatum,dry,colored,11
Monochaetum_longicaudatum,dry,colored,6
Monochaetum_macrantherum,dry,colored,18
Monochaetum_magdalenense,dry,colored,15.5
Monochaetum_meridense,dry,colored,14
Monochaetum_multiflorum,dry,colored,9
Monochaetum_myrtoideum,dry,colored,12
Monochaetum_neglectum,dry,colored,14
Monochaetum_perijense,dry,colored,15
Monochaetum_perijensis,dry,colored,13
Monochaetum_polyneurum,dry,colored,18
Monochaetum_pulchrum,dry,white,9
Monochaetum_rotundifolium,dry,colored,9
Monochaetum_rubescens,dry,colored,25
Monochaetum_stellulatum,dry,colored,8
Monochaetum_strigosum,dry,colored,7.5
Monochaetum_tachirense,dry,colored,15
Monochaetum_talamancense,dry,colored,19
Monochaetum_tenellum,dry,colored,17
Monochaetum_tonaense,dry,colored,13.4
Monochaetum_trichophyllum,dry,colored,17
Monochaetum_uberrimum,dry,colored,10.3
Monochaetum_uribei,dry,colored,12
Monochaetum_vulcanicum,dry,colored,22
Monolena_dressleri,dry,white,10.5
Monolena_glabra,dry,colored,33
Monolena_grandiloba,dry,colored,20
Monolena_guatemalensis,dry,colored,24
Monolena_multiflora,dry,colored,20
Monolena_ovata,dry,colored,20
Monolena_panamensis,dry,colored,24
Monolena_primuliflora,dry,colored,24
Monolena_trichopoda,dry,colored,18
Mouriri_acutiflora,fleshy,colored,9
Mouriri_angulicosta,fleshy,white,4
Mouriri_angustifolia,fleshy,colored,3.7
Mouriri_apiranga,fleshy,colored,6.5
Mouriri_bahiensis,fleshy,colored,7
Mouriri_barinensis,fleshy,colored,5.3
Mouriri_brachyanthera,fleshy,colored,12
Mouriri_brevipes,fleshy,colored,62.2
Mouriri_cauliflora,fleshy,colored,6
Mouriri_cearensis,fleshy,colored,4
Mouriri_chamissoana,fleshy,white,6
Mouriri_collocarpa,fleshy,colored,9.3
Mouriri_completens,fleshy,colored,11
Mouriri_crassifolia,fleshy,colored,14.5
Mouriri_crassisepala,fleshy,colored,6
Mouriri_cyphocarpa,fleshy,white,10
Mouriri_densifoliata,fleshy,colored,14
Mouriri_dimorphandra,fleshy,colored,12.3
Mouriri_domingensis,fleshy,colored,5
Mouriri_doriana,fleshy,colored,4.6
Mouriri_duckeana,fleshy,colored,7
Mouriri_duckeanoides,fleshy,colored,5.8
Mouriri_dumetosa,fleshy,colored,11
Mouriri_elliptica,fleshy,colored,4.1
Mouriri_emarginata,fleshy,colored,6.5
Mouriri_eugeniifolia,fleshy,colored,3.9
Mouriri_exilis,fleshy,colored,7.8
Mouriri_ficoides,fleshy,colored,15
Mouriri_floribunda,fleshy,colored,6.5
Mouriri_francavillana,fleshy,colored,15
Mouriri_gardneri,fleshy,white,6.2
Mouriri_glazioviana,fleshy,colored,10
Mouriri_gleasoniana,fleshy,colored,6.3
Mouriri_gonavensis,fleshy,colored,7
Mouriri_grandiflora,fleshy,colored,11
Mouriri_guianensis,fleshy,colored,7
Mouriri_helleri,fleshy,colored,6.7
Mouriri_huberi,fleshy,colored,3.7
Mouriri_lunatanthera,fleshy,colored,12
Mouriri_micradenia,fleshy,white,8.5
Mouriri_micranthera,fleshy,colored,3
Mouriri_monopora,fleshy,white,3.8
Mouriri_muelleri,fleshy,white,6.8
Mouriri_myrtifolia,fleshy,colored,5.5
Mouriri_myrtilloides,fleshy,colored,7
Mouriri_nervosa,fleshy,colored,6.5
Mouriri_nigra,fleshy,colored,5
Mouriri_obtusiloba,fleshy,colored,5
Mouriri_oligantha,fleshy,colored,12
Mouriri_osaensis,fleshy,colored,9.5
Mouriri_panamensis,fleshy,white,3
Mouriri_pauciflora,fleshy,colored,12
Mouriri_pseudo-getninata,fleshy,colored,10
Mouriri_pusa,fleshy,colored,12
Mouriri_regeliana,fleshy,colored,4.5
Mouriri_rhizophoraefolia,fleshy,white,15
Mouriri_rhizophorifolia,fleshy,white,15
Mouriri_sagotiana,fleshy,colored,5
Mouriri_sideroxylon,fleshy,colored,8
Mouriri_spathulata,fleshy,colored,8
Mouriri_spruceana,fleshy,white,6
Mouriri_steyermarkii,fleshy,colored,10.5
Mouriri_subumbellata,fleshy,white,9
Mouriri_torquata,fleshy,colored,5.6
Mouriri_trunciflora,fleshy,colored,20
Mouriri_tuberculata,fleshy,colored,8
Mouriri_uncitheca,fleshy,white,13
Mouriri_valenzuelana,fleshy,colored,5.1
Mouriri_vernicosa,fleshy,colored,6.5
Noterophila_bivalvis,dry,colored,12
Noterophila_crassipes,dry,white,4
Noterophila_limnobios,dry,white,4
Noterophila_nana,dry,colored,3.6
Ochthocharis_bornensis,dry,colored,7
Ochthocharis_dicellandroides,dry,colored,10
Ochthocharis_javanica,dry,colored,28
Ochthocharis_paniculata,dry,colored,5
Opisthocentra_clidemioides,dry,white,9
Osbeckia_aspericaulis,dry,colored,22
Osbeckia_capitata,dry,colored,15
Osbeckia_chinensis,dry,colored,17
Osbeckia_cochinchinensis,dry,colored,6
Osbeckia_nayarii,dry,colored,20
Osbeckia_nepalensis,dry,colored,25
Osbeckia_setoso-annulata,dry,colored,11
Osbeckia_stellata,dry,colored,28
Osbeckia_thorelii,dry,colored,25
Osbeckia_walkeri,dry,colored,22
Ossaea_araneifera,fleshy,white,2
Ossaea_cabraliensis,fleshy,white,3.8
Ossaea_congestiflora,fleshy,colored,4.4
Ossaea_parvifolia,fleshy,colored,3.6
Ossaea_suprabasalis,fleshy,white,2.5
Oxyspora_bullata,dry,colored,2
Oxyspora_cernua,dry,colored,12
Oxyspora_curtisii,dry,colored,3.5
Oxyspora_exigua,dry,colored,1.5
Oxyspora_howellii,dry,colored,5
Oxyspora_paniculata,dry,colored,7
Oxyspora_stellulata,dry,colored,9
Oxyspora_teretipetiolata,dry,colored,5
Oxyspora_umbellulata,dry,colored,9
Oxyspora_vagans,dry,colored,6
Oxyspora_yunnanensis,dry,colored,10
Pachyanthus_cubensis,fleshy,colored,16
Pachyanthus_wrightii,fleshy,colored,17
Pachycentria_constricta,fleshy,colored,7
Pachycentria_pulverulenta,fleshy,colored,5
Pachycentria_varingiifolia,fleshy,colored,18
Phainantha_laxiflora,dry,colored,6.5
Phainantha_maguirei,dry,white,15
Phainantha_myrteoloides,dry,white,7
Phainantha_shuariorum,dry,white,9
Phyllagathis_asarifolia,dry,colored,7
Phyllagathis_brevipedunculata,dry,colored,9
Phyllagathis_cavaleriei,dry,colored,7
Phyllagathis_cymigera,dry,colored,7
Phyllagathis_deltoidea,dry,colored,5
Phyllagathis_elattandra,dry,colored,10
Phyllagathis_fengii,dry,colored,8
Phyllagathis_hainanensis,dry,colored,11
Phyllagathis_hispida,dry,colored,13
Phyllagathis_hispidissima,dry,colored,11
Phyllagathis_longiradiosa,dry,colored,4
Phyllagathis_marumiaetricha,dry,colored,25
Phyllagathis_megalocentra,dry,colored,7
Phyllagathis_melastomatoides,dry,colored,18
Phyllagathis_oligotricha,dry,colored,4
Phyllagathis_ovalifolia,dry,colored,14
Phyllagathis_plagiopetala,dry,colored,7
Phyllagathis_prostrata,dry,colored,8
Phyllagathis_rajah,dry,white,11
Phyllagathis_rotundifolia,dry,colored,9
Phyllagathis_sessilifolia,dry,colored,10
Phyllagathis_setotheca,dry,colored,14
Phyllagathis_stenophylla,dry,colored,12
Phyllagathis_suberalata,dry,colored,8
Phyllagathis_tentaculifera,dry,colored,11
Phyllagathis_ternata,dry,colored,7
Phyllagathis_tetrandra,dry,colored,7
Phyllagathis_tonkinensis,dry,colored,4.5
Phyllagathis_truncata,dry,colored,13.5
Phyllagathis_tuberosa,dry,colored,3.5
Physeterostemon_gomesii,dry,white,4.7
Physeterostemon_thomasii,dry,white,7.2
Pilocosta_campanensis,dry,colored,11
Pilocosta_erythrophylla,dry,colored,11
Pilocosta_nana,dry,colored,14
Pilocosta_nubicola,dry,colored,15
Pilocosta_oerstedii,dry,colored,12
Plagiopetalum_esquirolii,dry,colored,10
Plagiopetalum_tenuicaule,dry,colored,6
Pleiochiton_blepharodes,fleshy,colored,8
Pleiochiton_crassifolium,fleshy,colored,7.7
Pleiochiton_ebracteatum,fleshy,colored,6.7
Pleiochiton_roseum,fleshy,colored,5
Pleroma_ackermannii,dry,colored,22
Pleroma_andersregnellii,dry,colored,32
Pleroma_arboreum,dry,colored,45
Pleroma_caissara,dry,colored,45
Pleroma_candolleanum,dry,colored,35
Pleroma_clavatum,dry,colored,23
Pleroma_dubium,dry,colored,27
Pleroma_echinatum,dry,colored,18
Pleroma_estrellense,dry,colored,31
